source,relationship,target,evidence,reason
Abrams,EVEN_AGAINST,Bebop,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Drifter,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Haze,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Kelvin,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Mirage,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Victor,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Vindicta,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Viscous,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Wraith,0,No direct ability or mechanic counters found.
Abrams,EVEN_AGAINST,Yamato,0,No direct ability or mechanic counters found.
Abrams,STRONG_AGAINST,Billy,2,[Shoulder Charge] counters [Bullet Storm via Channeling]. [Seismic Impact] counters [Bullet Storm via Channeling]. 
Abrams,STRONG_AGAINST,Dynamo,2,[Shoulder Charge] counters [Rejuvenating Aurora via Channeling]. [Seismic Impact] counters [Rejuvenating Aurora via Channeling]. 
Abrams,STRONG_AGAINST,Ivy,2,[Shoulder Charge] counters [Execution Beam via Channeling]. [Seismic Impact] counters [Execution Beam via Channeling]. 
Abrams,STRONG_AGAINST,Lash,2,[Shoulder Charge] counters [Guillotine Frenzy via Channeling]. [Seismic Impact] counters [Guillotine Frenzy via Channeling]. 
Abrams,STRONG_AGAINST,McGinnis,2,[Shoulder Charge] counters [Heavy Barrage via Channeling]. [Seismic Impact] counters [Heavy Barrage via Channeling]. 
Abrams,STRONG_AGAINST,Mina,2,[Shoulder Charge] counters [Requiem via Channeling]. [Seismic Impact] counters [Requiem via Channeling]. 
Abrams,STRONG_AGAINST,Paige,2,[Shoulder Charge] counters [Final Chapter via Channeling]. [Seismic Impact] counters [Final Chapter via Channeling]. 
Abrams,STRONG_AGAINST,Paradox,2,[Shoulder Charge] counters [Temporal Collapse via Channeling]. [Seismic Impact] counters [Temporal Collapse via Channeling]. 
Abrams,STRONG_AGAINST,Seven,2,[Shoulder Charge] counters [Storm Cloud via Channeling]. [Seismic Impact] counters [Storm Cloud via Channeling]. 
Abrams,STRONG_AGAINST,Warden,2,[Shoulder Charge] counters [Last Stand via Channeling]. [Seismic Impact] counters [Last Stand via Channeling]. 
Abrams,WEAK_AGAINST,Holliday,2,[Seismic Impact] is countered by [Crackshot via Dash]. [Shoulder Charge] is countered by [Crackshot via Dash]. 
Abrams,WEAK_AGAINST,Infernus,1,[Infernal Resilience] is countered by [Fire Wells via Self Heal]. 
Abrams,WEAK_AGAINST,Lash,2,[Seismic Impact] is countered by [Grappling Whip via Dash]. [Shoulder Charge] is countered by [Grappling Whip via Dash]. 
Abrams,WEAK_AGAINST,Pocket,1,[Infernal Resilience] is countered by [Affliction via Self Heal]. 
Abrams,WEAK_AGAINST,Vyper,1,[Infernal Resilience] is countered by [Lethal Venom via Self Heal]. 
Bebop,EVEN_AGAINST,Abrams,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Calico,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Doorman,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Dynamo,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Grey Talon,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Holliday,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Infernus,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Ivy,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Kelvin,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Lady Geist,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Lash,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Mina,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Mo & Krill,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Paradox,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Pocket,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Seven,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Shiv,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Sinclair,0,No direct ability or mechanic counters found.
Bebop,EVEN_AGAINST,Victor,0,No direct ability or mechanic counters found.
Bebop,STRONG_AGAINST,Billy,2,[Drop the Beat] counters [Force Field via Projectile]. [Sound Barrier] counters [Force Field via Barrier]. 
